Date,Rating,User,Review
"March 3, 2020",1,I Got Jams 19,Why I can't log in?? It says that my device need to sync with your servers clock time/ timezone? My time is on time. Hope you can fix this.☹☹☹
"February 20, 2020",2,Tech Priest,Why they decided that updating/ruining the UI was necessary is unknown to me but they've somehow made it even worse. It takes almost 30 seconds to load an assignment and then another 30 seconds to check your submission. There also no feature that allows you to download your submissions.
"January 22, 2020",1,Derek Fischer,
"December 17, 2019",1,Doreman203,"Tried to edit post to give it 0 stars..would not let me. Does not work. App keeps demanding I open a link in app and then the app says I need to download the app I am already using. And yes, it is up to date and yes I closed and reopened it and yes I logged out closed the app and reopened and relogged in and yes I did all of the above plus uninstalled it and rebooted my phone. Fix your app!"
"March 8, 2020",1,comrade lovic,"Unsusable format, needlessly complicated"
"February 5, 2020",4,Wolfy_gang _idk,Honestly this app is amazing and easy to use at school on our computers. But i cannot login on my phone. It tells me to put in my schools prfered email for me and i do i tried every single one i know even MY email but nothing happened. But that may be because i am on a phone so its diffrent.
"January 14, 2020",5,Marley Lang,"My school uses this app, and the user interface was easy to learn. Occasionally there is a WiFi glitch where it doesn't let you log in but usually this happens if you have a very busy connection. I would recommend this app!😁"
"December 2, 2019",2,Scrophan Alcime,"It was working for a while but later it started to act up. While I was not using it, it would crash the app. In addition, it wouldn't load assignments."
"February 6, 2020",1,Bryant Hayman,I don't like this new update that schoolgy has! It crashes my phone whenever I try to open an assignment up for submission. It blacks out and then it finally opens up the assignment. Please fix this new update you have! Thanks!
"January 8, 2020",1,Christine Magto,
"January 23, 2020",1,Dana Cawthorne,This app was amazing but now all I get is a blank white screen ): and I cant get any help from the moderators.
"February 10, 2020",1,Mr.awesome awesome coolness,"Trying to access class documents, was told must download App to view docs, downloaded App, but receiving same message through App. Rather a waste of time."
"January 14, 2020",4,Kelly Tan,I like this app and I use it for school. Its really helpful but I strongly suggest that it can be just like the Apple version.
"February 8, 2020",1,Hossein Jafari,Bugs fix or generate? When click on groups to see doc app closed!!
"January 11, 2020",1,Jessica Ramos,I cant log in. I can only log in through website but not in this app.
"January 2, 2020",4,Rashdan Affandy Mohammed Kassim,Just installed the app to my samsung note FE andI think its a great app...but recently I could not view pdf files for example my son's school timetable....
"January 14, 2020",2,Bhavya Sai Kamasamudram,The folders of resources are not opening in the app to view the files and now I have to download them using laptop only
"December 6, 2019",2,Jack Mooren,Not the best it works for its Purpose but Seems to have minor bugs and faults
"April 25, 2020",3,Brian Valencia,"I am writing this review as a High School Student for an academic project. I've haven been using this app for my Physics and English classes, among other subjects. It was simple adding other courses and viewing what the teacher had posted on some occasions. I was around 15 years old when I was using this app. For that age, I couldn't figure out what needed to be done and what assignments were due. I used Schoology on a laptop, so it was always in a web form. In the web form, I found it to be too cluttered to navigate the site. A lot of information was displayed simultaneously. While some assignments were in folders, the folders often didn't show in the list feature which displayed the assignments that were due. In addition, in some assignments teachers posted a picture, but the picture wouldn't be shown due to some errors in the system in Schoology. If these problems would be handled, it would make the website much easier to use. Thank you for your time, expecting greater things. Thank you."
"January 22, 2020",4,alonso ornelas miranda,"Its an amazing app, the only one thing ill suggest is making it look like the apple version"
"January 12, 2020",5,crystal johnson,"Love this app, I have never had any issues"
"January 22, 2020",1,The Idiotic Genius,"Terrible. It showed the login page and when i logged in, then just showed a white screen! Then when I clicked the link on the bottom to try to log in that way it said ""Invalid."" I use a Samsung Galaxy S8. Please make your app comply with other electronic brands besides Apple and desktop."
"February 28, 2020",1,Treasure Classon,Doesn't let me sign in. Continuously tells me I put the wrong password in when I triple checked and it was the right one. Pls get this fixed.
"September 16, 2019",1,Jason Brinker,"It's essentially non-functional. Cannot navigate through courses, unable to download files. When you tap on a folder, the app navigates to the same folder you were already in. Useless. I have to try and use the full site on my phone in a browser, which is frustrating. This, by the way, is both a parent using it for his two school-age children, and an educator using it to teach students."
"October 15, 2018",2,A Google user,"Possibly the the most poorly organized and implemented application I've ever used on any device.. Most of the content is just their web site shoved into a frame, except things like links in posts don't work, and there is no way to navigate through content - the back button always exits the app. Trying to use messages crashes the application completely. Galaxy S8+"
"October 24, 2019",2,TheMLGTurtle,"This app is very good on iOS, but the app is literal garbage on Android. The layout is horrendous and everything is broken, I can't view some materials in some folders when I know there are materials in there. It just kicks me out of that folder. It's extremely annoying and they need to redo this app on Android and stop focusing too much on their app for iOS. This app is a waste of time trying to use it on Android, but if you have an iPhone or iPad, it works pretty well."
"February 2, 2019",1,Jordan Schoeppner,"This app is terrible!! No matter what I do, it always says my password is incorrect the first time. It makes me sign in twice before it recognizes me. When I use the app, the screen says ""it looks like you are using you phone to access schoology, try downloading the app!"" I AM ON THE APP!!! So I click on ""download app"" and it takes me to the play store and it says it's already downloaded. Terrible waste of time app."
"December 6, 2018",1,Jason Hutton,
"August 16, 2019",1,abrielle cabrera,"It worked great the first time i had to use it my sophomore year, but we have to change our password every semester and ever since the first change it wont let me long into the app, i can log into the website just fine but the app wont let me. Im starting my senior year now and it still wont let me log in, it tells me that my email or password is wrong even though i know i know its right because i log in on the website."
"January 25, 2019",3,Ethan Cox,"I am a student using this app. my conclusion after using this app for one semester is that, the functionality and learned curve is good. Its easy to use and fairly simple. However I found that the app design is very dated and clunky. If the app gets updated I believe it could be one of the best tools for a school to have."
"February 24, 2019",1,Mr.Panface,"Recently, my school has adopted Schoology as a method of taking stress off of both the students and the teachers. Now, you'd think a mobile app for such a service would be easily navigated and would be easier to use than the site, right? What you end up getting is a UI that looks and functions horribly. The best part: The app from the students view is much different than the parental view! The parental side of the app is much more concise and usable, unlike the student side. Just use the website"
"September 24, 2018",1,Yige Li,"Grade average not shown in app. The app is really slow and complicated. Everytime you try to submit a file for submission, you only can select one file each time, not allowing you to select multiple files in at once. The design also looks very outdated."
"October 4, 2019",1,Cory Williams,This app needs a lot of work. When I'm in the app dont tell me I need to download the app to open a pdf. Open the pdf in whatever tool opens the pdf on the phone. Navigation is a disaster. Expected back behavior doesnt work. Oh and when I get notifications I would expect it to open the app. It never does.
"September 3, 2019",3,Arika Miller,"Wish it had a more modern, easy feel. There's features you can access on the desktop version, like class roster, that the app version doesn't include. Make the grades page easier to navigate, too! It's 2019, please and thank you."
"April 13, 2019",2,Nick V,Very limited functionality. Does not do as much as the desktop site does. This may be problematic for people that do not always have access to a desktop computer like myself. What features are there work well though.
"August 30, 2019",1,Chip Sprague,Not mobile friendly at all. Does not rotate to read information provided by teachers must scroll each line left to right to read. Very difficult to navigate and not designed for parents. Must navigate multiple pages to get to your child's page. Not user friendly. I do hope they make major changes for parents.
"February 20, 2019",2,Stacey Rodriguez,The app is not very easy to use. There a lot of menus that don't go to where you think would go. One the app updated I thought it would be something that got fixed. I can't check because I got logged off and now can't log back in since I forgot my password. I look for a password recovery help and I don't find any.
"January 6, 2019",1,A Getsch,"Almost useless app. You can look at things but don't try to create/edit an assignment or submit work as a student. Go to a desktop computer or a laptop to do any real work. As a teacher, I wanted to grade and wasted hours grading things that did not get saved. I tell all my students to stop using the app."
"August 25, 2019",5,mer pez,"I must say that your app is very helpful, and I am very grateful to your team for that. If I may, for improvement, I would like to recommend that an option or setting be made available in the gradebook that could separate the male from the female students. This setting may require them to update their gender profiles. I'll look forward to this consideration. Thanks in advance."
"February 17, 2019",2,Beth Rogers,
"February 27, 2019",3,Chidera Anyamene,"Great, Love it this app is amazing and is very useful i got it on my phone to keep up with school work and it works great,keeping in contact with your class and school is a very good standard with this app.I just wish the password wasnt so hard to get into😤😕"
"September 26, 2018",2,Jeff Young,
"September 12, 2019",1,Kelley Taylor,
"September 6, 2019",1,S I,I have all my settings set up to send push and email notifications. I receive nothing! I constantly have to open the app to check instead of it working like it should be and send me notifications. I have checked all my phone settings and still doesnt work.
"February 25, 2019",1,A Google user,This app doesn't work I can't login to my student account and it keeps yelling me that there's an error every time and my friends can't figure out why its happening to me while it's working just fine for them.
"June 13, 2019",2,Nisarg Patel,I have had really bad experiences with the interface. It looks and feels outdated while the one on ios looks and operates way better. A lot of improvements need to be done in the ui and perfomance too. Please make the necessary changes.
"September 11, 2019",1,Lindsey Bergmann,Terrible app for Android. Nothing fits the screen. Hit the back button and you exit the app instead of going to the previous screen. Horrible to navigate. Worst part of my day is trying to navigate and scroll to find things on this app.
"December 10, 2018",1,Shravan Balaji,"For me I'll never forget how much trouble I had when submitting my assignments. Every time or almost every time when I submit, it gets deleted or never gets recieved by teacher. And to submit a document, it needs to be one file unfortunately. Thank god I'm a senior and that my time with schoology is almost over. Off for college!!!"
"October 3, 2018",1,Ally G,
"November 22, 2019",1,Shirley Joubert,It doesn't allow me to access hardly any of the information I need to see. Waste of time. Problem is I can't stop using it because my teachers keep uploading stuff to it.
"August 21, 2019",3,Pink kitten,I cannot get into my account on the app but on the website I can get in just fine. I type everything right and it says its incorrect. but for the 3 years I used it it was okay
"October 29, 2019",1,Andria Thompson,"Useless app!!!! I can't open any documents or login to the links for my kid's textbooks. Parent login is a joke! I can only view my kids Schoology page, unable to access any links. Both the app and the website are terrible when logged in as a parent!"
"September 10, 2019",1,Lillie Tokheim,I use schoology on my computer all the time so I know my login info. However the app refuses to let me login stating I have the wrong username or password. Very unfortunate since I needed to use the app for an assaignment.
"October 7, 2019",2,Angel Albus,This app is great. But it is hard to log out and religion. This is annoying to have to keep loving back in and then being told I am locked out. This needs to be fixed as soon as possible.
"August 19, 2019",3,XxWolfiexX,I like it but sometimes I wished it didn't existed because sometimes you gotta wait a long time to load and you use it a lot in school!!!!☹☹
"May 16, 2020",1,Rajeev Kumar,I trried to login so many time but it always show wrong username or password.so please help me
"September 30, 2019",4,Ronald Jinks,"This app is great. Only problem is, I can't send messages. It doesn't 'auto-populate' like it says in support. Most of my kids teachers need students to send them direct messages but she can't even do that."
"June 29, 2019",1,Tracey Law,"Frustrating! Resources folders never load when you want to look at the documents. Just keep getting the same page reappearing with the status ""loading"". Basically, I can't access anything that I would actually find useful!"
"September 20, 2019",1,Monica Nakagawa,"It used to work great, now every time I use it it says I can't do that until I install the app which is hilarious BECAUSE I'M USING THE APP. And I'm forced to use this garbage by my kid's school, so, awesome."
"October 10, 2019",2,Jacob DeHaven,"Navigation needs a lot of work! Also, the messaging feature does not pop up the keyboard anymore so can't type messages to teachers. Please fix"
"October 25, 2018",2,Candace Taylor,
"September 13, 2019",2,Bryan Boutz,Apparently this is just wrapping the website with an authentication layer and notifications. Pages are not even optimized for use on mobile devicesnand some content says to open the app which i am in.
"February 11, 2020",5,Silva Irmiter,"This is a great app for schoolwork, Notes,assignments. Its great for when i forget a textbok or important thing because I can copy it off with schoology!"
"October 10, 2018",1,Chris B,Hate this program so very much. Impossibly complicated and lacking proper documentation or customer support.  Still can't do such essential tasks as.... adding a single grade!! Avoid!!
"May 11, 2019",1,Yeu Han Law,"the app is not functioning at all, i cant access to the files, a lot ppl experience the same problem too, some dude posted the same issue 2 months ago n apparently its still not resolved"
"August 22, 2019",2,Stacy H,"Since the last update, now there's a big, blue square with the person's name and school blocking the courses section that you can't click off of."
"December 4, 2018",2,A Google user,
"September 18, 2019",1,stanly fisher,"Submit button not responding, can't submit, and when i go back to menu the app went black. When i resume the task i started from the beginning again, very bad app!!!"
"August 18, 2019",2,El Pinguino,"Not bad, but I'm rsting two stars just because they have failed to update the app to the newer and more intuitive UI thats on the iOS version, please update this app to the newer version"
"March 18, 2019",4,idkwhattosay roblox,I love this app because you don't have to login again and again. There is a problem that it doesn't let you answer the discussion.
"November 11, 2019",5,Kamara Dorsey,Very Useful for me to keep up with all of my assignments also it is very useful for studnet to teacher assignment conversations. Also some times its a little slow but overall it is a great app to use.
"September 17, 2019",1,Christine Chowdhury,"Unable to give anything more because the app is useless at this time. It will not let me open any files, let alone download anything."
